Марка автомобиля;полное;частичное
Chevrolet NIVA;1605334.2;0.0
Datsun on-DO;0.0;0.0
Hyundai Creta;0.0;0.0
Hyundai Solaris;1523003.7000000002;0.0
KIA Rio;1584262.7;0.0
KIA Sportage;0.0;0.0
Lada Granta;963955.1000000001;0.0
Lada Kalina;0.0;0.0
Lada Largus;1124268.4;0.0
Lada Vesta;1434229.25;0.0
Lada X-Ray;1630641.1;0.0
Mazda CX-5;2268504.4;0.0
Nissan X-Trail;0.0;0.0
Renault Duster;1424544.2;0.0
Renault Logan;0.0;0.0
Renault Sandero;1515185.7;0.0
Skoda Octavia A7;1848006.7;0.0
Toyota RAV 4;2455425.2;0.0
VW Polo;0.0;0.0
VW Tiguan;0.0;0.0
